lemma,correct,total,accuracy
i n d i s p o n ˈe ɾ,660,660,100.0
k o n b e ɾ ç ˈi ɾ,605,605,100.0
u n ç ˈi ɾ,660,660,100.0
k a ɾ e s ˈe ɾ,660,660,100.0
ɾ e b e n ˈi ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,660,660,100.0
k o m p u n ç ˈi ɾ,660,660,100.0
k o n t ɾ a ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
e m u l ç ˈe ɾ,660,660,100.0
e n ɡ ɾ a n d e s ˈe ɾ,660,660,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
e n f e b ɾ e s ˈe ɾ,660,660,100.0
e n s o m b ɾ e s ˈe ɾ,660,660,100.0
ɾ e b e ɾ d e s ˈe ɾ,660,660,100.0
p a l i d e s ˈe ɾ,660,660,100.0
d i b e ɾ ç ˈi ɾ,660,660,100.0
i n t e l i ç ˈi ɾ,660,660,100.0
s u p o n ˈe ɾ,660,660,100.0
e n t e ɾ n e s ˈe ɾ,660,660,100.0
f o ɾ t a l e s ˈe ɾ,660,660,100.0
k o n d u s ˈi ɾ,660,660,100.0
k o n b e ɾ ç ˈe ɾ,55,55,100.0
k o d i ɾ i ç ˈi ɾ,660,660,100.0
o s k u ɾ e s ˈe ɾ,660,660,100.0
e n a ɾ d e s ˈe ɾ,660,660,100.0
o p o n ˈe ɾ,660,660,100.0
ɾ e s t a b l e s ˈe ɾ,660,660,100.0
e n k o ç ˈe ɾ,660,660,100.0
a d o l e s ˈe ɾ,660,660,100.0
i n b e n ˈi ɾ,659,660,99.85
e n k a ʃ e s ˈe ɾ,659,660,99.85
d e s p a ɾ e s ˈe ɾ,658,660,99.7
d e t ɾ a ˈe ɾ,657,660,99.55
s i ɾ k u n b e n ˈi ɾ,655,660,99.24
d e s b a n e s ˈe ɾ,646,660,97.88
a k o n t e s ˈe ɾ,642,660,97.27
e s k l a ɾ e s ˈe ɾ,640,660,96.97
a b s t ɾ a ˈe ɾ,629,660,95.3
e n s e ɡ e s ˈe ɾ,622,660,94.24
ɾ e t ɾ a d u s ˈi ɾ,620,660,93.94
d e s t o ɾ s ˈe ɾ,618,660,93.64
ɾ e k o s ˈe ɾ,612,660,92.73
s u b s t ɾ a ˈe ɾ,598,660,90.61
ʃ a s ˈe ɾ,590,660,89.39
s o b ɾ e k o ç ˈe ɾ,577,660,87.42
ɾ e j n t ɾ o d u s ˈi ɾ,576,660,87.27
ɾ e k a ˈe ɾ,545,660,82.58
e n n o b l e s ˈe ɾ,523,660,79.24
e x e ɾ s ˈe ɾ,516,660,78.18
d e s o b e d e s ˈe ɾ,489,660,74.09
n a s ˈe ɾ,486,660,73.64
u ɾ ç ˈi ɾ,476,660,72.12
t ɾ a n s i ç ˈi ɾ,471,660,71.36
f l o ɾ e s ˈe ɾ,251,660,38.03
ɾ e e s t a b l e s ˈe ɾ,0,660,0.0
ɡ w a ɾ n e s ˈe ɾ,0,660,0.0
p ɾ e e s t a b l e s ˈe ɾ,0,660,0.0
k o n t ɾ a a s ˈe ɾ,0,660,0.0
ɡ w a ɾ e s ˈe ɾ,0,660,0.0
