lemma,correct,total,accuracy
o f ɾ e s ˈe ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
ɾ e p o n ˈe ɾ,660,660,100.0
e m b e ʃ e s ˈe ɾ,660,660,100.0
s u ɾ s ˈi ɾ,660,660,100.0
i n t e ɾ b e n ˈi ɾ,660,660,100.0
d e s a s ˈe ɾ,220,220,100.0
a t a ɾ d e s ˈe ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
t ɾ a ˈe ɾ,660,660,100.0
a d o ɾ m e s ˈe ɾ,660,660,100.0
a n t e d e s ˈi ɾ,660,660,100.0
d e s o b e d e s ˈe ɾ,660,660,100.0
a p e t e s ˈe ɾ,660,660,100.0
d i ɾ i ç ˈi ɾ,660,660,100.0
e n b i l e s ˈe ɾ,660,660,100.0
d e s b a n e s ˈe ɾ,660,660,100.0
i n t e l i ç ˈi ɾ,660,660,100.0
t ɾ a s p o n ˈe ɾ,660,660,100.0
d e b e n ˈi ɾ,660,660,100.0
e n k a ʃ e s ˈe ɾ,660,660,100.0
e d u s ˈi ɾ,660,660,100.0
o p o n ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
ʃ u k s t a p o n ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
f ɾ a n ç ˈi ɾ,660,660,100.0
ɾ e d i ɾ i ç ˈi ɾ,660,660,100.0
e m p o b ɾ e s ˈe ɾ,660,660,100.0
p ɾ e d e s ˈi ɾ,660,660,100.0
e n l o k e s ˈe ɾ,660,660,100.0
e k s t ɾ a ˈe ɾ,660,660,100.0
l a n ɡ i d e s ˈe ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
d e ɾ e l i n k ˈi ɾ,660,660,100.0
p ɾ e b e n ˈi ɾ,660,660,100.0
a p o n ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
e m u n ç ˈe ɾ,660,660,100.0
e k i b a l ˈe ɾ,660,660,100.0
a b o r e s ˈe ɾ,658,660,99.7
k o p ɾ o d u s ˈi ɾ,657,660,99.55
s u b s t ɾ a ˈe ɾ,657,660,99.55
a t e n ˈe ɾ,653,660,98.94
ɾ e d e s ˈi ɾ,650,660,98.48
s o s t e n ˈe ɾ,648,660,98.18
u ɾ ç ˈi ɾ,646,660,97.88
e x e ɾ s ˈe ɾ,629,660,95.3
e ɾ i ç ˈi ɾ,572,660,86.67
e l i ç ˈi ɾ,550,660,83.33
d e s t o ɾ s ˈe ɾ,533,660,80.76
ɾ e a s ˈe ɾ,481,660,72.88
e s k o s ˈe ɾ,391,660,59.24
ɾ e t ɾ o t ɾ a ˈe ɾ,332,660,50.3
o b t e n ˈe ɾ,303,660,45.91
a d ʃ a s ˈe ɾ,130,660,19.7
s o b ɾ e s a l ˈi ɾ,118,660,17.88
d e s a s ˈi ɾ,55,440,12.5
