lemma,correct,total,accuracy
ɾ o b u s t e s ˈe ɾ,660,660,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
d e s a s ˈe ɾ,220,220,100.0
k o m p u n ç ˈi ɾ,660,660,100.0
a d u s ˈi ɾ,660,660,100.0
e n m u d e s ˈe ɾ,660,660,100.0
i n t e ɾ p o n ˈe ɾ,660,660,100.0
d e s k o m p o n ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
f l o ɾ e s ˈe ɾ,660,660,100.0
e n b e x e s ˈe ɾ,660,660,100.0
d e s a ɡ ɾ a d e s ˈe ɾ,660,660,100.0
f a ʃ e s ˈe ɾ,660,660,100.0
e n s o m b ɾ e s ˈe ɾ,660,660,100.0
ɾ e s t a b l e s ˈe ɾ,660,660,100.0
a p a ɾ e s ˈe ɾ,660,660,100.0
k o n f l i ç ˈi ɾ,660,660,100.0
e n k a ɾ e s ˈe ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
a r e s ˈi ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,660,660,100.0
l a n ɡ i d e s ˈe ɾ,660,660,100.0
a k a e s ˈe ɾ,659,660,99.85
d e d u s ˈi ɾ,657,660,99.55
o b s k u ɾ e s ˈe ɾ,656,660,99.39
p e ɾ m a n e s ˈe ɾ,650,660,98.48
ɡ w a ɾ e s ˈe ɾ,630,660,95.45
m a n t e n ˈe ɾ,621,660,94.09
m a l d e s ˈi ɾ,616,660,93.33
e l i ç ˈi ɾ,550,660,83.33
s u b ʃ a s ˈe ɾ,523,660,79.24
d e s a s ˈi ɾ,257,440,58.41
k o n b e n s ˈe ɾ,237,660,35.91
e n o ɾ ɡ u ʃ e s ˈe ɾ,0,660,0.0
