lemma,correct,total,accuracy
ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
e m b e ʃ e s ˈe ɾ,660,660,100.0
d e s k o m p o n ˈe ɾ,660,660,100.0
e s t a b l e s ˈe ɾ,660,660,100.0
a n o ʧ e s ˈe ɾ,660,660,100.0
e n o ɾ ɡ u ʃ e s ˈe ɾ,660,660,100.0
e n k a ɾ e s ˈe ɾ,660,660,100.0
d i s t ɾ a ˈe ɾ,660,660,100.0
k o m p a ɾ e s ˈe ɾ,660,660,100.0
f ɾ a n ç ˈi ɾ,660,660,100.0
ɾ e b e n ˈi ɾ,660,660,100.0
a s t ɾ i n ç ˈi ɾ,660,660,100.0
p ɾ o d u s ˈi ɾ,660,660,100.0
ɾ e b l a n d e s ˈe ɾ,660,660,100.0
e n t e ɾ n e s ˈe ɾ,660,660,100.0
d e p o n ˈe ɾ,660,660,100.0
t ɾ a ˈe ɾ,660,660,100.0
a b o r e s ˈe ɾ,660,660,100.0
p ɾ e b a l e s ˈe ɾ,660,660,100.0
e n f l a k e s ˈe ɾ,660,660,100.0
a p a ɾ e s ˈe ɾ,660,660,100.0
f u l ç ˈi ɾ,645,660,97.73
k a ˈe ɾ,612,660,92.73
a n t e d e s ˈi ɾ,594,660,90.0
ɾ e t o ɾ s ˈe ɾ,443,660,67.12
e n b e x e s ˈe ɾ,398,660,60.3
e m p o d ɾ e s ˈe ɾ,389,660,58.94
e n ɾ o x e s ˈe ɾ,384,660,58.18
e k i b a l ˈe ɾ,357,660,54.09
d e s a s ˈe ɾ,272,660,41.21
b a l b u s ˈi ɾ,0,660,0.0
e n m o e s ˈe ɾ,0,660,0.0
k o n t ɾ a a s ˈe ɾ,0,660,0.0
